tenure_months,monthly_charges,total_charges,contract,internet_service,online_security,tech_support,is_senior,has_partner,has_dependents,paperless_billing,payment_method,churn
6,62.48,440.0,one_year,fiber,yes,no,1,1,0,yes,electronic_check,1
55,60.84,3422.22,two_year,dsl,no,yes,0,1,0,yes,electronic_check,0
47,85.38,4117.6,month-to-month,fiber,no,no,1,0,0,yes,credit_card,0
31,86.38,2764.29,month-to-month,dsl,no,yes,0,0,0,yes,electronic_check,0
31,59.3,1869.89,month-to-month,none,no,no,1,1,1,yes,bank_transfer,0
61,61.94,3826.58,two_year,fiber,no,no,0,1,1,yes,electronic_check,0
6,80.82,578.08,month-to-month,fiber,no,yes,0,1,0,yes,bank_transfer,0
50,53.45,2709.38,two_year,none,no,yes,0,1,0,yes,electronic_check,1
14,61.79,922.81,month-to-month,fiber,no,yes,0,1,1,yes,credit_card,1
6,71.79,507.39,month-to-month,fiber,yes,yes,1,1,0,yes,electronic_check,0
37,89.92,3443.39,month-to-month,fiber,yes,no,0,1,0,yes,electronic_check,0
70,57.91,4104.95,two_year,fiber,no,no,0,1,1,yes,bank_transfer,1
52,33.15,1752.68,month-to-month,fiber,no,yes,1,1,0,yes,mailed_check,0
54,31.67,1741.52,month-to-month,none,yes,yes,0,0,0,yes,mailed_check,0
51,44.81,2333.26,month-to-month,dsl,no,yes,0,1,1,yes,mailed_check,0
56,43.74,2491.83,two_year,fiber,yes,no,0,0,0,yes,mailed_check,0
36,66.91,2489.71,one_year,fiber,no,yes,0,1,1,yes,credit_card,1
9,46.22,454.81,month-to-month,fiber,yes,yes,0,0,1,no,bank_transfer,0
60,55.94,3413.68,month-to-month,none,no,no,0,1,0,no,mailed_check,0
32,54.52,1804.01,month-to-month,dsl,no,no,0,0,1,no,electronic_check,0
36,61.19,2259.13,month-to-month,dsl,yes,no,1,1,0,yes,mailed_check,0
26,96.45,2620.35,one_year,fiber,no,yes,0,1,1,yes,credit_card,0
13,83.24,1167.84,month-to-month,fiber,no,yes,0,0,0,no,electronic_check,1
66,70.32,4722.53,month-to-month,none,no,no,0,0,0,yes,electronic_check,0
56,60.78,3466.82,one_year,fiber,no,no,0,1,1,no,electronic_check,0
46,61.34,2887.6,month-to-month,dsl,yes,no,0,0,1,yes,bank_transfer,0
28,76.55,2210.27,month-to-month,dsl,no,no,0,1,1,yes,bank_transfer,0
59,81.68,4890.5,month-to-month,fiber,no,yes,0,1,1,yes,bank_transfer,0
39,51.85,2086.7,month-to-month,fiber,no,no,0,1,1,yes,credit_card,0
31,70.73,2272.35,month-to-month,dsl,no,yes,1,0,0,yes,bank_transfer,0
32,29.37,963.2,month-to-month,fiber,no,yes,0,1,1,no,credit_card,0
16,74.23,1264.6,month-to-month,none,yes,no,0,1,0,yes,mailed_check,1
6,85.24,556.21,month-to-month,fiber,yes,yes,0,0,0,yes,electronic_check,0
39,64.4,2568.61,one_year,fiber,yes,yes,0,1,0,yes,mailed_check,1
63,106.33,6825.56,month-to-month,dsl,yes,yes,0,0,1,yes,bank_transfer,0
4,52.38,260.59,month-to-month,fiber,no,yes,0,1,0,no,electronic_check,1
61,74.35,4611.45,month-to-month,dsl,yes,no,0,0,0,yes,mailed_check,0
59,69.28,4115.01,month-to-month,fiber,no,no,0,0,0,yes,bank_transfer,0
19,67.99,1354.47,month-to-month,dsl,no,yes,0,0,0,yes,electronic_check,0
45,67.71,3119.24,month-to-month,dsl,yes,yes,1,1,0,yes,bank_transfer,0
11,72.14,872.39,one_year,dsl,no,no,1,1,0,yes,bank_transfer,0
54,86.96,4799.54,month-to-month,dsl,yes,yes,0,0,1,yes,credit_card,0
50,97.55,4970.95,one_year,none,yes,no,0,0,1,no,bank_transfer,0
25,69.95,1816.38,month-to-month,dsl,no,yes,0,1,0,yes,electronic_check,1
4,86.31,408.55,month-to-month,none,yes,no,1,0,0,yes,mailed_check,0
69,55.96,3914.91,month-to-month,fiber,yes,yes,0,1,1,yes,electronic_check,0
32,85.32,2794.03,month-to-month,dsl,no,no,0,1,0,yes,electronic_check,0
64,54.76,3539.16,one_year,fiber,yes,no,0,1,0,yes,bank_transfer,0
48,91.81,4478.76,one_year,dsl,yes,yes,0,1,0,yes,mailed_check,0
56,114.21,6544.43,one_year,none,no,yes,0,1,0,yes,bank_transfer,0
54,67.56,3712.14,month-to-month,dsl,no,no,1,0,0,yes,bank_transfer,1
14,26.15,393.4,one_year,none,no,no,0,0,0,yes,bank_transfer,0
26,59.04,1588.02,month-to-month,dsl,no,no,0,0,1,no,bank_transfer,1
33,94.64,3183.87,month-to-month,dsl,yes,yes,0,0,0,yes,electronic_check,0
35,81.06,2933.34,month-to-month,dsl,no,no,0,1,0,yes,electronic_check,0
3,74.98,267.35,month-to-month,fiber,yes,yes,0,1,0,yes,electronic_check,0
39,90.17,3596.79,one_year,fiber,yes,no,0,1,1,no,bank_transfer,0
11,79.69,955.41,two_year,none,no,no,0,1,0,yes,credit_card,0
53,94.35,5099.25,month-to-month,fiber,no,yes,0,0,0,yes,credit_card,0
49,88.39,4406.66,month-to-month,dsl,yes,no,0,1,1,yes,electronic_check,0
66,100.43,6691.89,one_year,fiber,yes,no,0,1,0,yes,credit_card,0
53,77.18,4155.35,two_year,fiber,yes,yes,0,1,0,yes,credit_card,0
26,88.11,2365.78,one_year,none,no,no,0,0,0,no,electronic_check,0
69,63.86,4460.33,month-to-month,fiber,yes,no,0,1,0,no,mailed_check,0
29,57.97,1750.35,month-to-month,fiber,no,no,0,0,0,no,credit_card,0
23,104.14,2474.08,one_year,dsl,yes,no,0,0,1,no,mailed_check,0
65,74.32,4909.59,month-to-month,none,yes,no,0,1,0,yes,credit_card,0
26,86.1,2327.43,two_year,dsl,no,no,1,0,0,no,mailed_check,0
5,72.47,448.74,two_year,none,no,no,0,0,1,no,electronic_check,0
33,58.27,1979.63,two_year,dsl,yes,no,0,1,0,yes,electronic_check,0
57,70.22,4083.87,month-to-month,fiber,no,no,0,0,1,no,electronic_check,0
13,98.72,1378.68,one_year,none,no,no,0,0,0,no,bank_transfer,0
33,81.1,2764.45,one_year,none,no,yes,0,1,0,yes,electronic_check,0
9,35.77,346.95,month-to-month,fiber,no,no,0,1,0,yes,electronic_check,1
49,65.7,3250.33,month-to-month,fiber,no,no,0,1,1,yes,credit_card,0
34,105.65,3705.73,month-to-month,none,no,yes,0,1,1,yes,electronic_check,0
23,65.72,1582.95,month-to-month,fiber,no,yes,0,0,0,yes,electronic_check,1
16,33.99,581.06,two_year,fiber,yes,no,0,0,1,yes,credit_card,0
